Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality
41.031409699355905,52.64616241912597,6.5,20.052576424032637,79.94742357596736,8.591576842195144,84.0,66.0,50.0,104.87131032861858,66.66666666666667
37.11076463640011,33.46185323441859,6.75,19.751848411984515,80.0,2.6826825548319304,50.0,40.0,30.0,58.93979633901676,35.0
36.98071234147618,31.40689446561338,5.5,16.110394507823717,80.0,7.696070494170769,49.5,45.0,38.5,32.97041272118097,22.166666666666668
42.083733518665774,33.46771254930223,6.75,14.826739078862005,80.0,10.366657495668038,55.00000000000001,44.0,36.0,29.35611549155564,39.375
32.52111667267959,41.68439028797768,6.25,18.32327171374926,80.0,8.198083930243586,60.0,45.0,40.0,22.221375114874576,42.29166666666667
37.44678945818024,31.402720908635935,5.5,18.895963172575023,80.0,6.6967067309505,60.50000000000001,45.0,31.5,54.25972686316481,22.83333333333333
39.54127210597435,52.65343429494603,6.5,16.865594573647094,80.0,9.311648638504131,70.0,66.0,55.00000000000001,68.11924993406157,63.66666666666666
37.18639251440277,31.4077270244461,5.5,16.044317975023777,80.0,4.1209896283606735,60.50000000000001,45.0,31.5,28.72353011550643,22.83333333333333
41.052535160669095,41.67863341370312,6.25,15.984306179345618,80.0,10.655914948161588,72.0,55.00000000000001,40.0,51.65627328069812,48.70833333333333
37.130971874791314,33.784163116017446,8.0,11.400778958026455,80.0,11.382448900445914,65.0,55.0,45.0,8.159006261940537,13.75
42.05258252599394,52.64548544631368,6.5,19.438742297966787,80.0,11.428127762280916,77.0,66.0,60.0,108.29273092196144,67.66666666666667
32.51768242668247,41.68267148580544,6.25,19.8777256356118,80.0,9.26275693771888,60.0,45.0,40.0,31.009610621508735,42.29166666666667
37.4474431196293,33.7754869559708,8.0,19.062629111970992,80.0,14.068720085712467,71.5,55.0,40.5,52.589621860831095,13.916666666666666
39.54213209593611,33.77288063424647,8.0,20.01766448946012,79.98233551053988,7.19871147726385,65.0,60.50000000000001,49.50000000000001,65.93659541111212,14.583333333333334
41.0641791251937,31.40898136741263,5.5,13.504963247670664,80.0,15.382842529025758,66.0,49.50000000000001,35.0,22.325126643223808,25.08333333333333
37.10186719542198,52.65082649605742,6.5,18.71855641885613,80.0,12.114943933998164,70.0,60.0,50.0,81.29906551707641,60.0
36.97244575796766,41.67814904186226,6.25,17.507241657624025,80.0,13.474559958796084,54.0,50.0,44.0,54.13286650296527,43.16666666666667
42.079879090659055,31.405688266174174,5.5,16.572564479315858,80.0,12.887923869999106,60.50000000000001,49.50000000000001,42.0,39.1232360605833,25.33333333333333
32.522193349805185,52.66306094543743,6.5,17.304778077101467,80.0,13.821200860418667,70.0,54.0,50.0,19.466158350497768,58.0
37.46674800264858,33.4728800022127,6.75,10.64847522719463,80.0,8.480070341105428,55.00000000000001,40.0,27.0,3.2656457465653888,35.58333333333333
39.567534773385134,33.473236715562095,6.75,29.718317082406426,70.28168291759357,8.971856450419692,50.0,44.0,33.0,1.4646000454946262,37.04166666666667
37.17798976033708,52.657006262593775,6.5,16.074694150473775,80.0,3.933055200412795,77.0,60.0,45.0,50.06652544236726,60.66666666666666
41.05453596008126,33.46429402205527,6.75,22.019793693296467,77.98020630670354,7.461948950632882,60.0,44.0,30.0,46.616259561457184,39.08333333333333
37.12096970498364,33.77925480656096,8.0,16.724511675223642,80.0,13.711048218809385,65.0,55.0,45.0,33.29445898862128,13.75
42.06227161260622,52.65034340940736,6.5,21.15889188358055,78.84110811641945,6.034369148099684,77.0,66.0,60.0,83.74058544645528,67.66666666666667
41.029219823751646,33.7768010494379,8.0,22.02602652939094,77.97397347060905,14.17697726047571,84.5,66.0,54.0,45.86014921579415,17.041666666666668
32.529071544461,33.47315744081843,6.75,15.384474742922857,80.0,10.084298390044603,50.0,36.0,30.0,1.864858226250708,33.83333333333333
