Date,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality
2014-01-01,Wheat,Peaty,5.5,9.440599409765397,80.0,10.95670655406815,60.50000000000001,45.0,31.5,0.0,22.833333333333332
2014-01-01,Corn,Loamy,6.5,20.052576424032633,79.94742357596736,8.591576842195144,84.0,66.0,50.0,104.87131032861858,66.66666666666667
2014-01-01,Rice,Peaty,5.5,12.143099171229291,80.0,7.227751486758685,71.5,54.0,38.5,0.0,27.333333333333332
2014-01-01,Barley,Sandy,6.75,19.751848411984515,80.0,2.6826825548319304,50.0,40.0,30.0,58.93979633901676,35.0
2014-01-01,Soybean,Peaty,5.5,16.110394507823717,80.0,7.696070494170769,49.5,45.0,38.5,32.97041272118097,22.166666666666668
2014-01-01,Cotton,Sandy,6.75,14.826739078862003,80.0,10.366657495668038,55.00000000000001,44.0,36.0,29.356115491555638,39.375
2014-01-01,Sugarcane,Saline,8.0,13.533004268206692,80.0,9.910484291920755,84.5,66.0,54.0,0.0,17.041666666666668
2014-01-01,Tomato,Clay,6.25,18.32327171374926,80.0,8.198083930243586,60.0,45.0,40.0,22.221375114874576,42.29166666666667
2014-01-01,Potato,Peaty,5.5,18.895963172575023,80.0,6.6967067309505,60.50000000000001,45.0,31.5,54.25972686316481,22.833333333333332
2014-01-01,Sunflower,Loamy,6.5,16.865594573647094,80.0,9.311648638504131,70.0,66.0,55.00000000000001,68.11924993406157,63.666666666666664
2014-01-02,Wheat,Peaty,5.5,16.044317975023777,80.0,4.1209896283606735,60.50000000000001,45.0,31.5,28.72353011550643,22.833333333333332
2014-01-02,Corn,Clay,6.25,15.984306179345618,80.0,10.655914948161588,72.0,55.00000000000001,40.0,51.65627328069812,48.70833333333333
2014-01-02,Rice,Peaty,5.5,14.421758588058797,80.0,9.096688913232134,71.5,54.0,38.5,0.0,27.333333333333332
2014-01-02,Barley,Saline,8.0,11.400778958026457,80.0,11.382448900445914,65.0,55.0,45.0,8.159006261940537,13.75
2014-01-02,Soybean,Peaty,5.5,9.347238476592166,80.0,10.403286647884066,49.5,45.0,38.5,0.0,22.166666666666668
2014-01-02,Cotton,Loamy,6.5,19.438742297966787,80.0,11.428127762280916,77.0,66.0,60.0,108.29273092196145,67.66666666666667
2014-01-02,Sugarcane,Clay,6.25,10.803912383886807,80.0,9.072362872446357,78.0,60.0,48.0,0.0,54.25
2014-01-02,Tomato,Clay,6.25,19.877725635611796,80.0,9.26275693771888,60.0,45.0,40.0,31.009610621508738,42.29166666666667
2014-01-02,Potato,Saline,8.0,19.062629111970992,80.0,14.068720085712469,71.5,55.0,40.5,52.589621860831095,13.916666666666666
2014-01-02,Sunflower,Saline,8.0,20.01766448946012,79.98233551053988,7.19871147726385,65.0,60.50000000000001,49.50000000000001,65.93659541111212,14.583333333333334
2014-01-03,Wheat,Loamy,6.5,1.9012744795512777,80.0,12.465707513125672,77.0,60.0,45.0,0.0,60.666666666666664
2014-01-03,Corn,Peaty,5.5,13.504963247670663,80.0,15.382842529025758,66.0,49.50000000000001,35.0,22.325126643223808,25.083333333333332
2014-01-03,Rice,Saline,8.0,12.327917731632475,80.0,5.514838387556992,84.5,66.0,49.50000000000001,0.0,16.666666666666668
2014-01-03,Barley,Loamy,6.5,18.718556418856135,80.0,12.114943933998163,70.0,60.0,50.0,81.29906551707641,60.0
2014-01-03,Soybean,Clay,6.25,17.507241657624025,80.0,13.474559958796084,54.0,50.0,44.0,54.13286650296527,43.16666666666667
2014-01-03,Cotton,Peaty,5.5,16.572564479315858,80.0,12.887923869999106,60.50000000000001,49.50000000000001,42.0,39.1232360605833,25.333333333333332
2014-01-03,Sugarcane,Clay,6.25,13.361874083609987,80.0,7.415205837255013,78.0,60.0,48.0,0.0,54.25
2014-01-03,Tomato,Loamy,6.5,17.304778077101467,80.0,13.821200860418667,70.0,54.0,50.0,19.466158350497768,58.0
2014-01-03,Potato,Sandy,6.75,10.64847522719463,80.0,8.480070341105428,55.00000000000001,40.0,27.0,3.2656457465653888,35.58333333333333
2014-01-03,Sunflower,Sandy,6.75,29.718317082406422,70.28168291759357,8.971856450419692,50.0,44.0,33.0,1.4646000454946262,37.04166666666667
2014-01-04,Wheat,Loamy,6.5,16.074694150473775,80.0,3.933055200412795,77.0,60.0,45.0,50.06652544236726,60.666666666666664
2014-01-04,Corn,Sandy,6.75,22.019793693296467,77.98020630670354,7.461948950632882,60.0,44.0,30.0,46.616259561457184,39.08333333333333
2014-01-04,Rice,Clay,6.25,11.20836439740879,80.0,11.372246946157428,78.0,60.0,44.0,0.0,53.08333333333333
