soil_ph,temp,humidity,wind_speed,n,p,k,crop_yield,soil_quality,crop_type_Barley,crop_type_Corn,crop_type_Cotton,crop_type_Potato,crop_type_Rice,crop_type_Soybean,crop_type_Sugarcane,crop_type_Sunflower,crop_type_Tomato,crop_type_Wheat,soil_type_Clay,soil_type_Loamy,soil_type_Peaty,soil_type_Saline,soil_type_Sandy,year,month,day
-0.12296377083550436,-0.2608592477014118,0.8023133333385523,-0.46987770328605355,1.6494198910507099,1.4734631507344618,0.9360434987572515,104.87131032861858,1.6471043464295245,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,1,1
0.1828861157450998,-0.31554528293924666,0.816278949019689,-2.4377509558069863,-1.468168673075223,-1.4758435255769289,-1.4090668317491857,58.93979633901676,-0.14146289131070122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2014,1,1
-1.346363317157921,-0.9777272830916748,0.816278949019689,-0.768113363637705,-1.5140155637241337,-0.9086691647478153,-0.4123949412839498,32.97041272118097,-0.8663032981843716,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2014,1,1
0.1828861157450998,-1.2111542443625967,0.816278949019689,0.12128767709773812,-1.0096997665861147,-1.022104036913638,-0.7055337325972545,29.35611549155564,0.10564179285077731,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2014,1,1
-0.4288136574161085,-0.5753255246519535,0.816278949019689,-0.600924924445867,-0.5512308600970075,-0.9086691647478153,-0.23651166649596705,22.221375114874576,0.27037824895842993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2014,1,1
-1.346363317157921,-0.4711841608845463,0.816278949019689,-1.1009372598758989,-0.505383969448096,-0.9086691647478153,-1.2331835569612029,54.25972686316481,-0.8286492510740513,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2014,1,1
-0.12296377083550436,-0.8403975507200064,0.816278949019689,-0.2300680267309015,0.365706952881208,1.4734631507344618,1.5223210813838615,68.11924993406157,1.4776611344330814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,1,1
-1.346363317157921,-0.9897430031321254,0.816278949019689,-1.9587432292748006,-0.505383969448096,-0.9086691647478153,-1.2331835569612029,28.72353011550643,-0.8286492510740513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2014,1,2
-0.4288136574161085,-1.000655878027918,0.816278949019689,0.21762076010308834,0.5490945154768511,0.2256795569104127,-0.23651166649596705,51.65627328069812,0.6327984523952646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014,1,2
1.7121355486481207,-1.8341496700812032,0.816278949019689,0.45958256585179913,-0.09276195360789975,0.2256795569104119,0.3497659161306422,8.159006261940537,-1.3416856429521684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2014,1,2
